problem,method,iteration,input_a,input_b,midpoint,false_position,newton,selected,root,f_root,residual,step_size,error,a,b,newton_status
quadratic,bisection,1,1.0,4.0,2.5,,,bisection,2.5,1.75,1.75,1.5,1.75,1.0,2.5,not used
quadratic,bisection,2,1.0,2.5,1.75,,,bisection,1.75,-0.6875,0.6875,0.75,0.6875,1.75,2.5,not used
quadratic,bisection,3,1.75,2.5,2.125,,,bisection,2.125,0.390625,0.390625,0.375,0.390625,1.75,2.125,not used
quadratic,bisection,4,1.75,2.125,1.9375,,,bisection,1.9375,-0.18359375,0.18359375,0.1875,0.18359375,1.9375,2.125,not used
quadratic,bisection,5,1.9375,2.125,2.03125,,,bisection,2.03125,0.0947265625,0.0947265625,0.09375,0.0947265625,1.9375,2.03125,not used
quadratic,bisection,6,1.9375,2.03125,1.984375,,,bisection,1.984375,-0.046630859375,0.046630859375,0.046875,0.046630859375,1.984375,2.03125,not used
quadratic,bisection,7,1.984375,2.03125,2.0078125,,,bisection,2.0078125,0.02349853515625,0.02349853515625,0.0234375,0.02349853515625,1.984375,2.0078125,not used
quadratic,bisection,8,1.984375,2.0078125,1.99609375,,,bisection,1.99609375,-0.0117034912109375,0.0117034912109375,0.01171875,0.0117034912109375,1.99609375,2.0078125,not used
quadratic,bisection,9,1.99609375,2.0078125,2.001953125,,,bisection,2.001953125,0.005863189697265625,0.005863189697265625,0.005859375,0.005863189697265625,1.99609375,2.001953125,not used
quadratic,bisection,10,1.99609375,2.001953125,1.9990234375,,,bisection,1.9990234375,-0.0029287338256835938,0.0029287338256835938,0.0029296875,0.0029287338256835938,1.9990234375,2.001953125,not used
quadratic,bisection,11,1.9990234375,2.001953125,2.00048828125,,,bisection,2.00048828125,0.0014650821685791016,0.0014650821685791016,0.00146484375,0.0014650821685791016,1.9990234375,2.00048828125,not used
quadratic,bisection,12,1.9990234375,2.00048828125,1.999755859375,,,bisection,1.999755859375,-0.0007323622703552246,0.0007323622703552246,0.000732421875,0.0007323622703552246,1.999755859375,2.00048828125,not used
quadratic,bisection,13,1.999755859375,2.00048828125,2.0001220703125,,,bisection,2.0001220703125,0.00036622583866119385,0.00036622583866119385,0.0003662109375,0.00036622583866119385,1.999755859375,2.0001220703125,not used
quadratic,bisection,14,1.999755859375,2.0001220703125,1.99993896484375,,,bisection,1.99993896484375,-0.00018310174345970154,0.00018310174345970154,0.00018310546875,0.00018310174345970154,1.99993896484375,2.0001220703125,not used
quadratic,bisection,15,1.99993896484375,2.0001220703125,2.000030517578125,,,bisection,2.000030517578125,9.155366569757462e-05,9.155366569757462e-05,9.1552734375e-05,9.155366569757462e-05,1.99993896484375,2.000030517578125,not used
quadratic,bisection,16,1.99993896484375,2.000030517578125,1.9999847412109375,,,bisection,1.9999847412109375,-4.5776134356856346e-05,4.5776134356856346e-05,4.57763671875e-05,4.5776134356856346e-05,1.9999847412109375,2.000030517578125,not used
quadratic,bisection,17,1.9999847412109375,2.000030517578125,2.0000076293945312,,,bisection,2.0000076293945312,2.2888241801410913e-05,2.2888241801410913e-05,2.288818359375e-05,2.2888241801410913e-05,1.9999847412109375,2.0000076293945312,not used
quadratic,bisection,18,1.9999847412109375,2.0000076293945312,1.9999961853027344,,,bisection,1.9999961853027344,-1.1444077244959772e-05,1.1444077244959772e-05,1.1444091796875e-05,1.1444077244959772e-05,1.9999961853027344,2.0000076293945312,not used
quadratic,bisection,19,1.9999961853027344,2.0000076293945312,2.000001907348633,,,bisection,2.000001907348633,5.722049536416307e-06,5.722049536416307e-06,5.7220458984375e-06,5.722049536416307e-06,1.9999961853027344,2.000001907348633,not used
quadratic,false-position,1,1.0,4.0,,1.5,,false-position,1.5,-1.25,1.25,0.5,1.25,1.5,4.0,not used
quadratic,false-position,2,1.5,4.0,,1.7777777777777777,,false-position,1.7777777777777777,-0.617283950617284,0.617283950617284,0.2777777777777777,0.617283950617284,1.7777777777777777,4.0,not used
quadratic,false-position,3,1.7777777777777777,4.0,,1.9069767441860463,,false-position,1.9069767441860463,-0.2704164413196328,0.2704164413196328,0.12919896640826867,0.2704164413196328,1.9069767441860463,4.0,not used
quadratic,false-position,4,1.9069767441860463,4.0,,1.9620853080568719,,false-position,1.9620853080568719,-0.11230655196424189,0.11230655196424189,0.05510856387082552,0.11230655196424189,1.9620853080568719,4.0,not used
quadratic,false-position,5,1.9620853080568719,4.0,,1.9847182425978986,,false-position,1.9847182425978986,-0.0456117400970073,0.0456117400970073,0.022632934541026772,0.0456117400970073,1.9847182425978986,4.0,not used
quadratic,false-position,6,1.9847182425978986,4.0,,1.9938685571948647,,false-position,1.9938685571948647,-0.018356733824533178,0.018356733824533178,0.009150314596966025,0.018356733824533178,1.9938685571948647,4.0,not used
quadratic,false-position,7,1.9938685571948647,4.0,,1.9975444116180023,,false-position,1.9975444116180023,-0.00736073523169134,0.00736073523169134,0.00367585442313767,0.00736073523169134,1.9975444116180023,4.0,not used
